,Job_id,company_id,Location,Designation,details_id
189,17241,3759,Chennai,Senior Mobile Developer,214
190,18787,6796,Bangalore,Data Engineer (IC) Role - Staff Engineer,813
191,14824,1796,Gurgaon,Daikin,539
192,10755,8917,"Bangalore, Gurgaon",Software Development Engineer - II / III Java,325
193,16707,7119,"Bangalore, Gurgaon, Mumbai",Data Scientist,652
194,11652,6706,Bangalore,DevOps Engineer 3 - AWS Terraform Kubernetes,209
195,10247,1898,Bangalore,Saas Sales Manager,920
196,13921,1831,Bangalore,Senior Software Engineer,945
197,14097,1831,Bangalore,Senior Software Engineer,415
198,14939,1831,Bangalore,Senior Sotware Engineer,688
199,15763,7314,Bangalore,Engineering Manager,913
200,17395,7314,Bangalore,Engineering Manager,814
201,17923,7314,Bangalore,Software Engineer II - L3,913
202,15017,7314,Bangalore,Software Engineer II - L3,814
203,16884,9727,Bangalore,Content Marketing Specialist,336
204,11551,1688,Bangalore,Customer Success Associate - Spanish Speaking,509
205,14660,1688,Bangalore,Customer Support Generalist - Spanish Speaking,379
206,14864,6393,Work From Home,Salesforce Developer,997
207,19168,1046,Gurgaon,Python Developer,869
208,18526,8588,Bangalore,Product Manager,846
209,12497,2074,Work From Home,Associate Product Manager,669
210,16492,4214,Pune,Java Technical Lead - Project Manager,719
211,15718,2404,Ahmedabad,ASP.NET MVC Developer,316
212,15391,9648,Gurgaon,Business Head,954
213,10634,6971,Bangalore,Engineering Manager,383
214,16417,8377,Bangalore,Manager - Corporate Sales,805
215,11283,3384,Bangalore,Sr. Content Writer,425
216,12995,9442,Hyderabad,Equity Advisor,828
217,19055,5901,"Bangalore, Chennai",Machine Learning Manager,501
218,15275,9006,Gurgaon,Quantitative Trader,222
219,15020,9648,Gurgaon,Quantitative Trader,312
220,17432,1831,Bangalore,Lead Software Engineer - Backend,857
221,11307,1831,Bangalore,Lead Software Engineer - Backend,983
222,15255,1831,Bangalore,SSE Backend,857
223,10762,1831,Bangalore,SSE Backend,983
224,15333,1831,Work From Home,Technical Content Writer,703
225,14656,3650,Bangalore,Software Engineer,932
226,15794,3384,Bangalore,Sr. Digital Marketing Specialist,401
227,19422,3900,Bangalore,Cloud Application Developer,689
228,15066,1714,Madurai,Business Analyst,977
229,18512,7231,Bangalore,Software Development Engineer 3 - Frontend,591
230,19581,5385,Bangalore,Systems Engineer III,399
231,16839,6820,Bangalore,Senior SSIS Consultant,219
232,13470,1847,Chennai,Senior Engineer - Golang,383
233,15217,5283,Bangalore,BDR - Founding Member,244
234,14315,4899,Bangalore,SDET,526
235,15409,8617,Pune,Wordpress Developer,382
236,15552,5388,Bangalore,SDE 1,460
237,13879,5388,Bangalore,SDE 1 Backend,416
238,19971,2924,Hyderabad,Account Executive,753
239,11092,8562,Work From Home,Subject Matter Expert - Finance,987
240,15645,8562,Work From Home,Subject Matter Expert - Physics,341
241,12885,1111,Bangalore,B2B Software Sales Executive,989
242,19226,1111,Bangalore,B2B Software Sales Executive,244
243,10010,1111,Bangalore,Senior Customer Success Manager,989
244,14756,1111,Bangalore,Senior Customer Success Manager,244
245,19564,2103,Bangalore,Business Analyst,504
